id,title,year,rating,votes,budget,gross_world_wide,gross_us_canada,opening_weekend_gross,genres,production_companies,wins,nominations,oscars
tt2404461,The Past,2013,7.7,51K,11000000.0,12673462.0,1331747.0,29270.0,"['Drama', 'Mystery']","['Memento Films Production', 'France 3 Cinéma', 'BIM Distribuzione']",0,42,0
tt1778924,The Ultimate Life,2013,6.1,1.7K,3100000.0,1327841.0,1327841.0,659912.0,"['Drama', 'Romance']","['The Ultimate Life', 'ReelWorks Studios']",0,0,0
tt2012665,Repentance,2013,4.9,2.8K,5000000.0,1194961.0,1189612.0,501290.0,"['Drama', 'Horror', 'Thriller']","['Tommy 2.0 LLC', 'Codeblack Entertainment', 'Significant Productions']",0,0,0
tt1922685,Phantom,2013,5.9,15K,18000000.0,1197759.0,1034589.0,508000.0,"['Drama', 'History', 'Thriller', 'War']","['RCR Media Group', 'Trilogy Entertainment Group', 'Solar Filmworks']",0,0,0
tt2343793,Third Person,2013,6.3,30K,28000000.0,2624761.0,1021398.0,38856.0,"['Drama', 'Romance']","['Corsan', 'Hwy61', 'Volten']",0,0,0
tt1966566,Stalingrad,2013,5.7,18K,30000000.0,68316452.0,1013945.0,510846.0,"['Epic', 'Tragedy', 'Action', 'Drama', 'War']","['Art Pictures Studio', 'Non-Stop Productions']",0,13,0
tt2370248,Short Term 12,2013,7.9,93K,400000.0,1645164.0,1013100.0,56206.0,"['Psychological Drama', 'Drama']","['Animal Kingdom', 'Traction Media']",0,72,0
tt2576852,The Tale of The Princess Kaguya,2013,8.0,57K,5000000000.0,24751400.0,974913.0,54915.0,"['Anime', 'Coming-of-Age', 'Fairy Tale', 'Hand-Drawn Animation', 'Iyashikei', 'Period Drama', 'Teen Drama', 'Teen Fantasy', 'Tragedy', 'Animation']","['Studio Ghibli', 'Dentsu', 'Hakuhodo DY Media Partners']",0,38,1
tt2359810,Raanjhanaa,2013,7.6,35K,350000000.0,9765799.0,903232.0,414211.0,"['Tragedy', 'Drama', 'Romance']","['Colour Yellow Pictures', 'Eros Worldwide']",0,36,0
tt1986769,Alone Yet Not Alone,2013,4.7,997,7000000.0,887851.0,887851.0,125775.0,"['Action', 'Drama', 'History', 'Romance', 'War']","['AYNA', 'Enthuse Entertainment', 'Talent One']",0,0,1
